LocaleValue	en-US	zh-CN	zh-TW					
HomepageWelcomeAppBar	Welcome	欢迎登入	歡迎登入					
HomepageGreetTo	Hello	您好	您好					
HomepagelaunchingPromoTitle	Launching Promo	迎宾促销	迎賓促銷					
HomepageupcomingEventsTitle	Upcoming Events	来日活动	來日活動					
HomepagepastRitualHighlightsTitle	Past Ritual Highlights	过往法会精选	過往法會精選					
HomepageintroducingMingLiChannelsTitle	Introducing Ming Li Channels	特别推介【命理频道】	特別推介【命理頻道】					
HomepagemoreEpisodersTitle	More Episoders	更多集数	更多集數					
HomepagegoToChannelButton	Go To Channel	进入频道	進入頻道					
HomepageHome	Home	主页	主頁					
								
InboxNowliveTitle	Now Live!	现在观看！	現在觀看！					
InboxLivein1hourtimeTitle	Live In 1 hour time!	1小时后将直播！	1小時後將直播！					
InboxItsTmrTitle	It's tommorrow!	就是明天！	就是明天！					
InboxDonationSuccessfulTitle	Your donation successful, Here's a gift for you	您已成功布施,到此领取好礼	您已成功佈施,到此領取好禮					
InboxSignUpTitle	Thank you for signing up with us	谢谢您注册报名	謝謝您注冊報名					
InboxWelcomingVoucherCodeTitle	Welcome. Here a Voucher Code for you!	这是您的迎宾优惠码	這是您的迎賓優惠碼					
InboxItemPaidSuccessful	Item Paid Successful	商品付费成功！	商品付費成功！					
InboxShipped	Shipped	已发货	已發貨					
InboxPaymentSuccess	Payment is successful	付费成功	付費成功					
InboxPaymentUnsuccessful	Payment is unsuccessful	付款失败	付款失敗					
InboxItemShipped	Item shipped!	货品已发送！	貨品已發送！					
InboxItemSuccessDelivery	Item is successfully delivered to you!	货品已发送给您！	貨品已發送給您！					
InboxItemCancelledOrder	You had cancelled your Order	您已取消订单	您已取消訂單					
								
EventListingLiveWatchNowTitle	Watch Now	現在觀看！	現在觀看！					
EventListingWatchNowDescription	You are invited to join our Virtual Blessing. It's Free!	您被邀请参加我们的线上免费祈福	您被邀請參加我們的綫上免費祈福					
EventListingLiveIcon	Live	直播	直播					
EventListingSeeUpcomingEventTitle	See Upcoming Event	浏览来日活动	瀏覽來日活動					
EventListingUpcoming	Upcoming	即将举行	即將舉行					
EventListingEarlyBirdRegistration	Early Bird Registration	现在注册可享早鸟价	現在注冊可享早鳥價					
EventListingPastRitualsHighlights	Past Rituals Highlights	已往法会精选	已往法會精選					
EventListingEnded	Ended	已结束	已結束					
EventListingSeeAllPastRituals	See All Past Rituals	浏览所有过往法会	瀏覽所有過往法會					
EventListingEvents	Events	活动	活動					
EventPageAboutTheBlessing	About The Blessing	关于祈福	關於祈福					
EventPageWatchLiveNowButton	Watch Live Now	观看直播	觀看直播					
EventPageExpand	Expand	展开	展開					
EventPageMeetYourHost	Meet your Host	观看更多大师直播	觀看更多大師直播					
EventPageHighlights	Highlights	精华	精華					
EventPageViewAll	View All	浏览全部	瀏覽全部					
EventPageBlessingPackages	Blessing Packages	祈福配套	祈福配套					
EventPageReadMoreAboutTheEvent	Read More About The Event	阅读更多活动详情	閲讀更多活動詳情					
EventPageShowLess	Show less	收起	收起					
EventInfoPageAbout	About	关于	關於					
EventBroadcasterListHosts	Masters	大师	大師					
EventBroadcasterListBroadcasters	Broadcasters	广播员	廣播員					
EventPageEventnRituals	Event & Rituals	活動和儀式	活動和儀式					
EventPagePast	Past	已过	已過					
EventPagePastHighlights	Past Highlights	过往精彩重点	過往精彩重點					
EventPagePopularOrganizers	Popular Organizers	人气主办方	人氣主辦方					
EventPageJustEnded	Just Ended	刚刚结束	剛剛結束					
EventPageOngoingDonations	Ongoing Donations	进行中布施活动	進行中佈施活動					
EventPageDonate	Donate	布施	佈施					
EventPageFavouriteBlessings	Favourite Blessings	我喜欢的祈福活动	我喜歡的祈福活動					
EventPageViewEventSummary	View Event Summary	观看活动概览	觀看活動概覽					
EventPageEventSummary	Event Summary	活动概览	活動概覽					
EventPageReportTotalRegistration	Total Registration	注册人数	注冊人數					
EventPageReportPeople	{People} People	{people} 人	{people} 人					
EventPageReportTotalPurchased	Total purchased	消费人数	消費人數					
EventPageReportCirclePeople	{People} People	{people} 人	{people} 人					
EventPageReportTotalWebEngagement	Total Web Engagement	网站互动次数	網站互動次數					
EventPageReportTotalMobileEngagement	Total Mobile Engagement	移动设备互动次数	移動設備互動次數					
								
MLTVTrending	Trending	热搜中	熱搜中					
MLTVOurProgrammes	Our Programmes	我们的节目	我們的節目					
MLTVEpisode	Ep. {Episode}	第{Episode}集	第{Episode}集					
MLTVDaysAgo	{days} days ago	{days}天前	{days}天前					
MLTVProgramme	Programme	节目	節目					
MLTVAbout	About	关于	關於					
MLTVAllEpisodes	All Episode	全部集数	全部集數					
MLTVNew	New	新推出	新推出					
